"day_of_week","day_order","hour_of_day","accepted_users","completed_users","dropoff_rate"
Monday,1,0,136,126,0.074
Monday,1,1,157,144,0.083
Monday,1,2,146,134,0.082
Monday,1,3,131,117,0.107
Monday,1,4,119,104,0.126
Monday,1,5,160,146,0.088
Monday,1,6,141,121,0.142
Monday,1,7,153,140,0.085
Monday,1,8,4135,3600,0.129
Monday,1,9,4159,3639,0.125
Monday,1,10,755,664,0.121
Monday,1,11,728,654,0.102
Monday,1,12,716,632,0.117
Monday,1,13,650,577,0.112
Monday,1,14,682,602,0.117
Monday,1,15,691,629,0.090
Monday,1,16,4040,3535,0.125
Monday,1,17,4063,3518,0.134
Monday,1,18,3034,2665,0.122
Monday,1,19,2950,2624,0.111
Monday,1,20,192,177,0.078
Monday,1,21,152,126,0.171
Monday,1,22,126,109,0.135
Monday,1,23,136,121,0.110
Tuesday,2,0,150,133,0.113
Tuesday,2,1,128,118,0.078
Tuesday,2,2,146,131,0.103
Tuesday,2,3,139,118,0.151
Tuesday,2,4,140,127,0.093
Tuesday,2,5,167,147,0.120
Tuesday,2,6,152,136,0.105
Tuesday,2,7,145,131,0.097
Tuesday,2,8,4110,3551,0.136
Tuesday,2,9,4134,3570,0.136
Tuesday,2,10,758,661,0.128
Tuesday,2,11,688,620,0.099
Tuesday,2,12,714,641,0.102
Tuesday,2,13,741,674,0.090
Tuesday,2,14,723,644,0.109
Tuesday,2,15,694,617,0.111
Tuesday,2,16,4015,3491,0.131
Tuesday,2,17,4081,3555,0.129
Tuesday,2,18,3084,2704,0.123
Tuesday,2,19,2986,2630,0.119
Tuesday,2,20,206,184,0.107
Tuesday,2,21,140,128,0.086
Tuesday,2,22,149,134,0.101
Tuesday,2,23,158,145,0.082
Wednesday,3,0,153,133,0.131
Wednesday,3,1,152,131,0.138
Wednesday,3,2,157,137,0.127
Wednesday,3,3,156,142,0.090
Wednesday,3,4,147,134,0.088
Wednesday,3,5,146,130,0.110
Wednesday,3,6,160,142,0.113
Wednesday,3,7,153,135,0.118
Wednesday,3,8,4118,3605,0.125
Wednesday,3,9,4069,3545,0.129
Wednesday,3,10,782,714,0.087
Wednesday,3,11,698,622,0.109
